  RMSE promedio
  Niveles bajos
  Eta vs. Era Interim
  Dominio: Sudamerica & Sur del Peru
    Nivel: 1000 hPa
  		     
 MSLP MSLP_P ESP ESP_P HGT850 HGT850_P HR950 HR950_P DIV/CONV DIV/CONV_P VWIND925 VWIND925_P
F000= 0.63 0.74 115.75 123.47 29.43 28.56 7.56 4.89 2.49 1.33 2.33 1.58
F006= 1.15 2.53 115.70 123.61 23.45 10.68 6.42 5.44 2.70 1.57 2.89 2.52
F012= 0.74 0.81 116.20 124.17 28.31 24.83 6.70 6.20 2.70 1.78 3.00 2.04
F018= 1.29 1.62 117.17 133.05 22.86 20.14 6.93 6.32 2.70 1.87 2.91 1.33
F024= 0.74 0.35 117.24 135.17 31.03 31.59 6.89 6.18 2.95 2.38 3.11 1.41
F030= 1.14 1.58 113.98 129.35 21.70 18.77 6.82 5.68 2.90 2.53 3.30 2.81
F036= 0.66 0.44 114.11 137.12 30.09 31.31 6.98 4.99 2.70 2.39 3.39 3.03
F042= 1.37 1.16 114.91 140.99 21.29 22.63 8.05 5.14 2.57 2.39 3.33 2.28
F048= 0.92 0.57 115.14 151.66 32.07 32.44 8.02 5.66 2.93 2.88 3.73 2.34
