Coeficiente de Correlacion
  Eta vs. Era Interim
  Dominio: Sudamerica
    Nivel: 500 hPa
  		     
 MWIND MWIND_P VOR VOR_P W W_P VWIND VWIND_P UWIND UWIND_P HGT HGT_P HR HR_P
F000= 0.98 0.93 0.83 0.61 0.00 0.00 0.97 0.90 0.99 0.93 1.00 1.00 0.94 0.89
F006= 0.97 0.90 0.83 0.55 0.72 0.38 0.97 0.85 0.99 0.91 1.00 1.00 0.92 0.92
F012= 0.97 0.93 0.84 0.76 0.59 0.32 0.97 0.94 0.99 0.95 1.00 1.00 0.91 0.92
F018= 0.97 0.95 0.83 0.89 0.59 0.32 0.97 0.96 0.98 0.94 1.00 0.99 0.90 0.91
F024= 0.96 0.94 0.81 0.92 0.69 0.84 0.97 0.98 0.98 0.94 1.00 0.99 0.88 0.91
F030= 0.94 0.83 0.76 0.86 0.60 0.81 0.95 0.98 0.97 0.92 1.00 0.99 0.87 0.94
F036= 0.94 0.61 0.71 0.75 0.52 0.73 0.94 0.96 0.97 0.87 1.00 0.98 0.83 0.89
F042= 0.92 0.66 0.65 0.51 0.55 0.59 0.91 0.85 0.96 0.82 1.00 0.94 0.81 0.87
F048= 0.90 0.49 0.55 0.19 0.50 0.28 0.88 0.64 0.96 0.66 0.99 0.88 0.79 0.89
