  RMSE promedio
  Niveles bajos
  Eta vs. Era Interim
  Dominio: Sudamerica & Selva Central/Sur del Peru
    Nivel: 1000 hPa
  		     
 MSLP MSLP_S ESP ESP_S HGT850 HGT850_S HR950 HR950_S DIV/CONV DIV/CONV_S VWIND925 VWIND925_S
F000= 0.63 0.70 115.75 128.70 29.43 36.31 7.56 11.86 2.49 3.45 2.33 1.98
F006= 1.15 1.00 115.70 123.50 23.45 25.57 6.42 7.91 2.70 4.13 2.89 4.17
F012= 0.74 0.40 116.20 125.32 28.31 35.95 6.70 11.01 2.70 3.05 3.00 2.13
F018= 1.29 3.53 117.17 146.62 22.86 18.00 6.93 11.55 2.70 4.74 2.91 3.87
F024= 0.74 1.54 117.24 158.17 31.03 38.25 6.89 20.46 2.95 5.62 3.11 3.32
F030= 1.14 1.98 113.98 135.43 21.70 25.48 6.82 12.17 2.90 3.43 3.30 3.64
F036= 0.66 0.91 114.11 136.19 30.09 34.98 6.98 6.20 2.70 6.08 3.39 4.30
F042= 1.37 4.27 114.91 149.38 21.29 10.24 8.05 9.22 2.57 3.27 3.33 2.38
F048= 0.92 1.54 115.14 156.85 32.07 35.69 8.02 11.42 2.93 4.24 3.73 1.68
