  RMSE promedio
  Eta vs. Era Interim
  Dominio: Sudamerica & Sur del Peru
    Nivel: 250 hPa
  		     
 JS JS_P HGT HGT_P DIV DIV_P UWIND UWIND_P
F000= 3.50 4.21 214.63 212.12 1.67 0.91 3.47 4.16
F006= 4.12 4.12 210.90 198.89 1.59 1.24 3.96 5.03
F012= 4.12 2.36 216.73 214.79 1.65 1.38 4.20 3.35
F018= 5.13 2.86 210.25 202.47 1.95 1.73 5.21 3.49
F024= 5.58 4.70 217.92 217.35 1.85 2.11 5.80 3.87
F030= 6.89 9.29 206.29 212.47 1.87 2.51 7.47 7.81
F036= 7.39 10.82 216.26 240.01 1.98 2.55 7.91 11.22
F042= 8.67 18.02 205.63 230.78 2.19 2.74 9.11 16.27
F048= 8.77 16.52 216.85 254.80 2.23 4.05 8.99 18.99
